id,availability in one year,name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,bathroom_count,bathroom_type,Total crime
6606,273,"Fab, private seattle urban cottage!",Wallingford,47.65444,-122.33629,Entire guesthouse,Entire home/apt,1,1 bath,1.0,1.0,99.0,159,4.61,4.67,4.67,4.83,4.76,4.88,4.57,1.0,standard,19411.0
9419,336,Glorious sun room w/ memory foambed,Georgetown,47.55017,-122.31937,Private room in rental unit,Private room,2,3 shared baths,1.0,2.0,55.0,175,4.7,4.78,4.73,4.93,4.88,4.65,4.65,3.0,shared,10434.0
9531,176,The Adorable Sweet Orange Craftsman,Fairmount Park,47.55495,-122.38663,Entire home,Entire home/apt,4,1 bath,2.0,3.0,175.0,71,4.96,4.99,4.97,4.99,4.96,4.97,4.9,1.0,standard,6776.0
9534,39,The Coolest Tangerine Dream MIL!,Fairmount Park,47.55627,-122.38607,Entire guest suite,Entire home/apt,3,1 bath,2.0,2.0,135.0,73,4.99,4.99,4.99,5.0,4.99,4.96,4.94,1.0,standard,6776.0
9596,125,"the down home , spacious, central and fab!",Wallingford,47.65608,-122.33602,Entire rental unit,Entire home/apt,4,1 bath,1.0,4.0,130.0,97,4.56,4.55,4.5,4.8,4.66,4.91,4.56,1.0,standard,19411.0
9909,281,Luna Lower - Friendly West Seattle Location,Fairmount Park,47.56612,-122.37273,Entire home,Entire home/apt,4,1 bath,2.0,2.0,108.0,82,4.8,4.88,4.88,4.94,4.94,4.83,4.82,1.0,standard,6776.0
11012,56,"the orange house, quiet 'n central",Wallingford,47.65405,-122.33744,Entire home,Entire home/apt,8,2 baths,3.0,3.0,310.0,98,4.79,4.82,4.61,4.78,4.72,4.86,4.74,2.0,standard,19411.0
25002,182,Beautiful Private  Spot in North Ballard,Whittier Heights,47.67947,-122.37196,Entire guest suite,Entire home/apt,4,1 bath,1.0,2.0,83.0,972,4.92,4.92,4.92,4.97,4.98,4.89,4.9,1.0,standard,5490.0
37234,131,Home in Seattle · ★4.17 · 1 bedroom · 2 beds · 1 bath,Sunset Hill,47.68897,-122.39424,Entire home,Entire home/apt,2,1 bath,1.0,2.0,130.0,6,4.17,4.67,4.83,4.33,4.0,4.67,4.17,1.0,standard,4263.0
68508,186,"Private Entry 180º Views City, Mountains & Lake",Eastlake,47.63815,-122.32344,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,195.0,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,standard,6510.0
116221,0,"Modern, Light-Filled Fremont Flat",Fremont,47.65474,-122.35546,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,75.0,48,4.74,4.87,4.89,4.61,4.68,4.91,4.52,1.0,standard,20441.0
119103,74,Teeny Tiny Guestyhouse!,Fremont,47.65244,-122.35108,Entire guesthouse,Entire home/apt,3,1 bath,1.0,2.0,90.0,513,4.94,4.95,4.82,4.98,4.98,4.97,4.91,1.0,standard,20441.0
132120,79,Mother-in-Law Apartment in Seattle,Wallingford,47.66938,-122.33516,Entire rental unit,Entire home/apt,4,1 bath,1.0,1.0,75.0,126,4.68,4.84,4.66,4.96,4.84,4.96,4.75,1.0,standard,19411.0
132160,277,Green Lake Guest Suite with Sauna,Green Lake,47.68205,-122.34275,Entire guest suite,Entire home/apt,6,1 bath,2.0,2.0,144.0,365,4.85,4.91,4.89,4.96,4.93,4.93,4.75,1.0,standard,13276.0
151545,213,Beautiful Water View Condo near UW + Eastlake!,Portage Bay,47.65062,-122.32008,Entire rental unit,Entire home/apt,6,1.5 baths,3.0,3.0,299.0,48,4.93,4.79,4.68,5.0,5.0,4.94,4.81,1.5,standard,1452.0
170273,65,Stunning Three Bedroom Historic Home at Seattle Center,Lower Queen Anne,47.62734,-122.35793,Entire home,Entire home/apt,6,2.5 baths,3.0,4.0,290.0,283,4.98,4.94,4.97,4.99,4.96,4.94,4.89,2.5,standard,24262.0
