accommodates,bedrooms,beds,bathrooms,rating,neighbourhood,room_type,bath_type,price
1,1.0,1.0,1.0,4.6,Wallingford,Entire home/apt,standard,99.0
2,1.0,1.0,3.0,4.72,Georgetown,Private room,shared,67.0
4,2.0,3.0,1.0,4.97,Fairmount Park,Entire home/apt,standard,184.0
3,2.0,2.0,1.0,4.99,Fairmount Park,Entire home/apt,standard,155.0
4,2.0,2.0,1.0,4.8,Fairmount Park,Entire home/apt,standard,228.0
4,1.0,2.0,1.0,4.93,Whittier Heights,Entire home/apt,standard,94.0
2,1.0,2.0,1.0,4.17,Sunset Hill,Entire home/apt,standard,130.0
4,2.0,2.0,1.0,4.63,Eastlake,Entire home/apt,standard,225.0
3,2.0,2.0,1.0,4.94,Fremont,Entire home/apt,standard,108.0
4,1.0,1.0,1.0,4.68,Wallingford,Entire home/apt,standard,75.0
6,2.0,2.0,1.0,4.87,Green Lake,Entire home/apt,standard,173.0
6,3.0,3.0,1.5,4.93,Portage Bay,Entire home/apt,standard,299.0
6,3.0,3.0,1.0,4.45,Phinney Ridge,Entire home/apt,standard,125.0
2,1.0,1.0,4.0,4.76,Crown Hill,Private room,shared,60.0
2,1.0,1.0,1.0,4.89,Columbia City,Entire home/apt,standard,121.0
2,1.0,1.0,1.0,4.83,Lawton Park,Private room,shared,63.0
2,1.0,1.0,3.0,4.81,Georgetown,Private room,shared,60.0
1,1.0,2.0,1.0,4.86,Wallingford,Private room,private,80.0
4,3.0,3.0,1.0,4.78,North Queen Anne,Entire home/apt,standard,285.0
2,1.0,1.0,1.0,4.74,West Queen Anne,Entire home/apt,standard,145.0
2,1.0,1.0,1.0,4.91,Phinney Ridge,Entire home/apt,standard,95.0
2,1.0,1.0,1.0,4.91,Whittier Heights,Entire home/apt,standard,125.0
4,2.0,2.0,1.0,4.81,Green Lake,Entire home/apt,standard,186.0
6,2.0,5.0,1.0,4.81,First Hill,Entire home/apt,standard,271.0
2,2.0,2.0,1.0,4.83,Eastlake,Entire home/apt,standard,110.0
2,1.0,1.0,1.0,4.63,Broadway,Entire home/apt,standard,314.0
4,1.0,1.0,1.0,4.78,North Admiral,Entire home/apt,standard,88.0
3,2.0,2.0,1.0,4.9,Portage Bay,Entire home/apt,standard,229.0
5,2.0,2.0,2.0,4.85,First Hill,Entire home/apt,standard,190.0
2,1.0,1.0,1.0,4.76,International District,Private room,private,91.0
16,6.0,7.0,3.0,4.87,Green Lake,Entire home/apt,standard,675.0
2,1.0,1.0,1.0,4.94,Phinney Ridge,Entire home/apt,standard,92.0
2,1.0,1.0,1.0,4.78,Broadway,Entire home/apt,standard,80.0
2,1.0,1.0,1.0,4.88,North Beacon Hill,Private room,private,80.0
4,2.0,2.0,1.0,4.78,North Beacon Hill,Entire home/apt,standard,142.0
2,1.0,1.0,1.0,4.87,Greenwood,Entire home/apt,standard,98.0
7,3.0,3.0,3.0,4.89,Wallingford,Entire home/apt,standard,325.0
2,1.0,1.0,1.0,4.85,Whittier Heights,Entire home/apt,standard,99.0
1,1.0,1.0,1.0,4.81,Cedar Park,Private room,standard,77.0
2,1.0,1.0,1.0,4.69,Fremont,Entire home/apt,standard,95.0
4,1.0,1.0,1.0,4.83,Columbia City,Entire home/apt,standard,79.0
2,1.0,1.0,1.0,4.8,Crown Hill,Private room,shared,50.0
4,2.0,2.0,1.0,4.7,Portage Bay,Entire home/apt,standard,199.0
2,1.0,1.0,1.0,4.8,Mount Baker,Private room,shared,49.0
2,1.0,1.0,1.0,4.72,Mount Baker,Private room,shared,49.0
4,2.0,2.0,1.0,4.67,Mann,Entire home/apt,standard,116.0
2,1.0,1.0,4.0,4.85,Crown Hill,Private room,shared,50.0
2,1.0,1.0,3.0,4.85,Georgetown,Private room,shared,53.0
4,2.0,4.0,1.0,5.0,Greenwood,Entire home/apt,standard,275.0
2,1.0,1.0,1.0,4.85,Columbia City,Entire home/apt,standard,105.0
2,1.0,1.0,1.0,3.86,Ravenna,Entire home/apt,standard,105.0
4,1.0,2.0,1.0,4.81,Belltown,Entire home/apt,standard,121.0
3,1.0,2.0,1.0,4.2,University District,Entire home/apt,standard,129.0
8,3.0,6.0,1.0,4.81,Fremont,Entire home/apt,standard,234.0
4,1.0,3.0,1.0,4.58,First Hill,Entire home/apt,standard,168.0
6,2.0,3.0,2.5,4.72,Harrison/Denny-Blaine,Entire home/apt,standard,226.0
3,1.0,1.0,1.5,5.0,Greenwood,Entire home/apt,standard,120.0
2,1.0,1.0,3.0,4.67,Georgetown,Private room,shared,60.0
6,2.0,3.0,1.0,4.91,South Delridge,Entire home/apt,standard,99.0
2,1.0,1.0,1.0,4.94,Broadview,Private room,standard,146.0
4,2.0,2.0,1.0,4.96,Wallingford,Entire home/apt,standard,265.0
